symbol,name,lastsale,netchange,pctchange,volume,marketCap,country,ipoyear,industry,sector,url
ACACU,Acri Capital Acquisition Corporation Unit,$11.00,0.00,0.00%,1,0.00,United States,2022,Blank Checks,Finance,/market-activity/stocks/acacu
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,$28.60,0.20,0.704%,818062,4682645367.00,United States,1985,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acad
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,$11.58,0.28,2.478%,203,0.00,,2021,Blank Checks,Finance,/market-activity/stocks/acaq
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,$10.85,3.13,40.544%,858578,0.00,United States,2022,Other Pharmaceuticals,Health Care,/market-activity/stocks/acax
ACAXR,Alset Capital Acquisition Corp. Right,$0.36,-0.05,-12.195%,35995,0.00,United States,2022,Other Pharmaceuticals,Health Care,/market-activity/stocks/acaxr
ACAXU,Alset Capital Acquisition Corp. Unit,$12.50,5.48,78.063%,28875,0.00,United States,2022,Other Pharmaceuticals,Health Care,/market-activity/stocks/acaxu
ACAXW,Alset Capital Acquisition Corp. Warrant,$0.04,-0.005,-11.111%,144949,0.00,United States,2022,Other Pharmaceuticals,Health Care,/market-activity/stocks/acaxw
ACB,Aurora Cannabis Inc. Common Shares,$0.4429,-0.0171,-3.717%,3812573,156684374.00,Canada,,Pharmaceuticals and Biotechnology,Health Care,/market-activity/stocks/acb
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,$11.41,0.00,0.00%,117,43238731.00,Hong Kong,2021,Business Services,Consumer Discretionary,/market-activity/stocks/acba
ACBAU,Ace Global Business Acquisition Limited Unit,$11.25,0.10,0.897%,100,0.00,Hong Kong,2021,Business Services,Consumer Discretionary,/market-activity/stocks/acbau
ACBAW,Ace Global Business Acquisition Limited Warrant,$0.0268,0.00,0.00%,100,0.00,Hong Kong,2021,Business Services,Consumer Discretionary,/market-activity/stocks/acbaw
ACCD,Accolade Inc. Common Stock,$12.95,0.04,0.31%,283948,953560818.00,United States,2020,Business Services,Consumer Discretionary,/market-activity/stocks/accd
ACCO,Acco Brands Corporation Common Stock,$4.85,-0.02,-0.411%,597987,460349245.00,United States,,Publishing,Consumer Discretionary,/market-activity/stocks/acco
ACDC,ProFrac Holding Corp. Class A Common Stock,$10.25,0.04,0.392%,386045,1633728466.00,United States,2022,Oilfield Services/Equipment,Energy,/market-activity/stocks/acdc
ACDCW,ProFrac Holding Corp. Warrant,$0.0039,-0.0001,-2.50%,7500,621614.00,United States,,Oilfield Services/Equipment,Energy,/market-activity/stocks/acdcw
ACEL,Accel Entertainment Inc. ,$11.37,-0.03,-0.263%,254015,973451691.00,United States,2017,Services-Misc. Amusement & Recreation,Consumer Discretionary,/market-activity/stocks/acel
ACER,Acer Therapeutics Inc. Common Stock (DE),$0.5651,-0.0339,-5.659%,200142,13824452.00,United States,,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/acer
ACET,Adicet Bio Inc. Common Stock ,$1.67,-0.08,-4.571%,659580,71920484.00,United States,2018,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acet
ACGL,Arch Capital Group Ltd. Common Stock,$74.62,-0.79,-1.048%,1262412,27829847105.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgl
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,$18.32,0.11,0.604%,28446,6832522098.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acgln
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,$21.29,-0.01,-0.047%,7302,7940196259.00,Bermuda,,Property-Casualty Insurers,Finance,/market-activity/stocks/acglo
ACHC,Acadia Healthcare Company Inc. Common Stock,$75.84,1.30,1.744%,405456,6990306127.00,United States,,Medical Specialities,Health Care,/market-activity/stocks/achc
ACHL,Achilles Therapeutics plc American Depositary Shares,$0.90,0.00,0.00%,9881,36839454.00,United Kingdom,2021,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/achl
ACHR,Archer Aviation Inc. Class A Common Stock,$5.78,-0.78,-11.89%,19936150,1430246325.00,United States,2020,Aerospace,Industrials,/market-activity/stocks/achr
ACHV,Achieve Life Sciences Inc. Common Shares,$4.64,-0.03,-0.642%,59432,97930726.00,United States,,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Health Care,/market-activity/stocks/achv
ACI,Albertsons Companies Inc. Class A Common Stock,$22.08,-0.01,-0.045%,1493896,12711001152.00,United States,2020,Food Chains,Consumer Staples,/market-activity/stocks/aci
ACIC,American Coastal Insurance Corporation Common Stock,$7.29,-0.02,-0.274%,161293,316433283.00,United States,,Property-Casualty Insurers,Finance,/market-activity/stocks/acic
ACIU,AC Immune SA Common Stock,$3.06,-0.04,-1.29%,39783,255877200.00,Switzerland,2016,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aciu
ACIW,ACI Worldwide Inc. Common Stock,$23.26,0.01,0.043%,398964,2525929958.00,United States,,EDP Services,Technology,/market-activity/stocks/aciw
ACLS,Axcelis Technologies Inc. Common Stock,$168.55,-1.04,-0.613%,493241,5531383557.00,United States,2000,Industrial Machinery/Components,Technology,/market-activity/stocks/acls
ACLX,Arcellx Inc. Common Stock,$35.59,0.66,1.889%,318700,1721096134.00,United States,2022,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/aclx
ACM,AECOM Common Stock,$86.87,0.62,0.719%,418827,12074824453.00,United States,2007,Military/Government/Technical,Consumer Discretionary,/market-activity/stocks/acm
ACMR,ACM Research Inc. Class A Common Stock,$15.52,0.16,1.042%,808427,931549448.00,United States,2017,Industrial Machinery/Components,Technology,/market-activity/stocks/acmr
ACN,Accenture plc Class A Ordinary Shares (Ireland),$318.76,4.62,1.471%,1451546,201179184956.00,Ireland,2001,Business Services,Consumer Discretionary,/market-activity/stocks/acn
ACNB,ACNB Corporation Common Stock,$33.70,0.27,0.808%,5082,288616303.00,United States,,Major Banks,Finance,/market-activity/stocks/acnb
ACNT,Ascent Industries Co. Common Stock,$8.96,-0.03,-0.334%,4026,91057604.00,United States,,Steel/Iron Ore,Industrials,/market-activity/stocks/acnt
ACON,Aclarion Inc. Common Stock,$0.4499,-0.0101,-2.196%,4104,3536896.00,United States,2022,Retail: Computer Software & Peripheral Equipment,Technology,/market-activity/stocks/acon
ACONW,Aclarion Inc. Warrant,$0.061,0.00,0.00%,41,479552.00,United States,2022,Retail: Computer Software & Peripheral Equipment,Technology,/market-activity/stocks/aconw
ACOR,Acorda Therapeutics Inc. Common Stock,$14.7699,-0.1859,-1.243%,5608,18345663.00,United States,2006,Biotechnology: Biological Products (No Diagnostic Substances),Health Care,/market-activity/stocks/acor
ACP,abrdn Income Credit Strategies Fund Common Shares,$6.93,-0.01,-0.144%,179826,0.00,United States,2011,Investment Managers,Finance,/market-activity/stocks/acp
ACP^A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,$23.60,0.72,3.147%,564,,United States,,,,/market-activity/stocks/acp^a
ACR,ACRES Commercial Realty Corp. Common Stock,$8.40,0.08,0.962%,6600,71332624.00,United States,,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acr
ACR^C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,$22.45,-0.04,-0.178%,4285,,United States,,,,/market-activity/stocks/acr^c
ACR^D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,$19.55,-0.4042,-2.026%,4396,,United States,,,,/market-activity/stocks/acr^d
ACRE,Ares Commercial Real Estate Corporation Common Stock,$9.83,0.01,0.102%,317122,532159564.00,United States,2012,Real Estate Investment Trusts,Real Estate,/market-activity/stocks/acre
ACRO,Acropolis Infrastructure Acquisition Corp. Class A Common Stock,$10.20,0.00,0.00%,25676,0.00,,2021,Blank Checks,Finance,/market-activity/stocks/acro
ACRS,Aclaris Therapeutics Inc. Common Stock,$6.90,-0.11,-1.569%,650515,488483030.00,United States,2015,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acrs
ACRV,Acrivon Therapeutics Inc. Common Stock,$12.00,0.18,1.523%,4336,264874992.00,United States,2022, Medicinal Chemicals and Botanical Products ,Health Care,/market-activity/stocks/acrv
ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$1.09,-0.05,-4.386%,153496,17810729.00,United States,2011,Biotechnology: Pharmaceutical Preparations,Health Care,/market-activity/stocks/acrx
ACST,Acasti Pharma Inc. Class A Common Stock,$2.015,-0.085,-4.048%,11226,15007786.00,Canada,,Pharmaceuticals and Biotechnology,Health Care,/market-activity/stocks/acst
ACT,Enact Holdings Inc. Common Stock,$28.91,0.04,0.139%,153900,4625420411.00,United States,2021,Specialty Insurers,Finance,/market-activity/stocks/act
ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.84,0.07,1.857%,110011,383563476.00,United States,,Multi-Sector Companies,Miscellaneous,/market-activity/stocks/actg
